6.483179251474524563e-01 4.023767036908235672e-01
8.825692816198439372e-01 9.892092839859336628e-01
1.207347406725438610e-01 6.545650619204325116e-01
8.237009842238972590e-01 5.599575474417484156e-01
6.869780195150085866e-01 7.357741740990536572e-01
9.938584206861800219e-02 2.897111056737131651e-01
7.474879793524931149e-01 2.672871000431908950e-01
6.619080684659515157e-01 1.311101663945311024e-01
9.793332493740374289e-01 1.667401325329170847e-01
2.049646897231571785e-01 9.988615643065898997e-01
6.183335983110004319e-01 4.665756911181183630e-01
5.425991010725792485e-01 5.299257708988810434e-01
1.022592590697708470e-01 9.082898064021639462e-01
2.833635360803992143e-01 1.465831782581268339e-01
1.759549915181393143e-01 8.825860899604129894e-01
8.617522486093276424e-02 3.939324542774033100e-01
8.095419778666371746e-01 7.682961616415674433e-01
5.084532302009595606e-01 4.198323917023930596e-01
6.822775775936281706e-01 5.947046367920741927e-01
1.518794409973008852e-01 9.473344421946334748e-01
